"Dataset","Model","Mean_WAIC","AICc","Num_Obs"
"79KTQG42_1.csv","weibull",-31.616274511891,-13.616274511891,6
"79KTQG42_1.csv","gompertz_hazard",-18.3039755612606,-0.303975561260607,6
"79KTQG42_1.csv","gompertz_survival",-30.3067811418155,-12.3067811418155,6
"79KTQG42_1.csv","loglogistic",-32.9665888647722,-14.9665888647722,6
"79KTQG42_1.csv","generalizedgamma",-31.6130089370291,16.3869910629709,6
"7BHF4LIC_1.csv","exponential",-10.1352121309091,-5.83521213090906,43
"7BHF4LIC_1.csv","weibull",-178.935504026826,-172.320119411442,43
"7BHF4LIC_1.csv","gompertz_hazard",-184.535140418274,-177.91975580289,43
"7BHF4LIC_1.csv","gompertz_survival",-183.924907587161,-177.309522971776,43
"7BHF4LIC_1.csv","loglogistic",-160.32709502484,-153.711710409455,43
"7BHF4LIC_1.csv","generalizedgamma",-185.591685338398,-176.53905375945,43
"7BHF4LIC_2.csv","exponential",6.63192052536599,10.9176348110803,45
"7BHF4LIC_2.csv","weibull",-220.51899979934,-213.933633945681,45
"7BHF4LIC_2.csv","gompertz_hazard",-219.364535230097,-212.779169376438,45
"7BHF4LIC_2.csv","gompertz_survival",-221.132095983022,-214.546730129364,45
"7BHF4LIC_2.csv","loglogistic",-160.926235071176,-154.340869217518,45
"7BHF4LIC_2.csv","generalizedgamma",-231.8446231439,-222.8446231439,45
"7BHF4LIC_3.csv","exponential",9.63866106411923,13.8177655417312,70
"7BHF4LIC_3.csv","weibull",-405.647904344333,-399.284267980697,70
"7BHF4LIC_3.csv","gompertz_hazard",-409.891679258304,-403.528042894668,70
"7BHF4LIC_3.csv","gompertz_survival",-414.364089693408,-408.000453329771,70
"7BHF4LIC_3.csv","loglogistic",-267.282507536825,-260.918871173188,70
"7BHF4LIC_3.csv","generalizedgamma",-448.970099841804,-440.354715226419,70
"7CJPGPP9_1.csv","exponential",-5.81473011153242,-0.614730111532419,13
"7CJPGPP9_1.csv","weibull",-50.1134611585975,-41.4467944919308,13
"7CJPGPP9_1.csv","gompertz_hazard",-45.5906585207134,-36.9239918540468,13
"7CJPGPP9_1.csv","gompertz_survival",-46.8222720272987,-38.155605360632,13
"7CJPGPP9_1.csv","loglogistic",-46.6225547013104,-37.9558880346438,13
"7CJPGPP9_1.csv","generalizedgamma",-50.1539265422837,-37.1539265422837,13
"7CJPGPP9_2.csv","exponential",-5.74045034053982,-0.540450340539824,13
"7CJPGPP9_2.csv","weibull",-60.4188540688888,-51.7521874022222,13
"7CJPGPP9_2.csv","gompertz_hazard",-49.0354143739901,-40.3687477073234,13
"7CJPGPP9_2.csv","gompertz_survival",-52.9689149665524,-44.3022482998858,13
"7CJPGPP9_2.csv","loglogistic",-47.4126749075716,-38.7460082409049,13
"7CJPGPP9_2.csv","generalizedgamma",-60.3996497606716,-47.3996497606716,13
"83ZYKHKT.csv","exponential",-12.2296853013046,-5.22968530130461,7
"83ZYKHKT.csv","weibull",-13.3498555853044,0.650144414695632,7
"83ZYKHKT.csv","gompertz_hazard",-11.3424594609545,2.6575405390455,7
"83ZYKHKT.csv","gompertz_survival",-13.6758991386189,0.324100861381128,7
"83ZYKHKT.csv","loglogistic",-12.4893847192652,1.51061528073476,7
"83ZYKHKT.csv","generalizedgamma",-13.5272226990553,14.4727773009447,7
"8C5XBCN2A.csv","exponential",-7.67110730185141,-1.27110730185141,8
"8C5XBCN2A.csv","weibull",-32.6464897094613,-20.6464897094613,8
"8C5XBCN2A.csv","gompertz_hazard",-31.8385062128257,-19.8385062128257,8
"8C5XBCN2A.csv","gompertz_survival",-38.1273061213443,-26.1273061213443,8
"8C5XBCN2A.csv","loglogistic",-23.9319709887848,-11.9319709887848,8
"8C5XBCN2A.csv","generalizedgamma",-36.149615562326,-14.8162822289926,8
"8C5XBCN2B.csv","exponential",-7.67110730185141,-1.27110730185141,8
"8C5XBCN2B.csv","weibull",-32.6464897094613,-20.6464897094613,8
"8C5XBCN2B.csv","gompertz_hazard",-31.8385062128257,-19.8385062128257,8
"8C5XBCN2B.csv","gompertz_survival",-38.1273061213443,-26.1273061213443,8
"8C5XBCN2B.csv","loglogistic",-23.9319709887848,-11.9319709887848,8
"8C5XBCN2B.csv","generalizedgamma",-36.149615562326,-14.8162822289926,8
"8VX95356.csv","exponential",-38.863267085614,-33.9401901625371,16
"8VX95356.csv","weibull",-50.5299116445768,-42.5299116445768,16
"8VX95356.csv","gompertz_hazard",-41.5098014643516,-33.5098014643516,16
"8VX95356.csv","gompertz_survival",-52.7151366022534,-44.7151366022534,16
"8VX95356.csv","loglogistic",-41.873895518638,-33.873895518638,16
"8VX95356.csv","generalizedgamma",-51.875583744493,-40.2392201081294,16
"8WWUNHQ2.csv","exponential",-22.9521159403866,-16.5521159403866,8
"8WWUNHQ2.csv","weibull",-36.1073091064442,-24.1073091064442,8
"8WWUNHQ2.csv","gompertz_hazard",-20.5240948245518,-8.52409482455178,8
"8WWUNHQ2.csv","gompertz_survival",-40.5922625319423,-28.5922625319423,8
"8WWUNHQ2.csv","loglogistic",-26.9663333771337,-14.9663333771337,8
"8WWUNHQ2.csv","generalizedgamma",-38.8272699677279,-17.4939366343946,8
"9HB7IP4W_1.csv","exponential",-71.3680018665233,-66.8225473210687,25
"9HB7IP4W_1.csv","weibull",-107.990975421106,-100.848118278249,25
"9HB7IP4W_1.csv","gompertz_hazard",-54.712468342315,-47.5696111994578,25
"9HB7IP4W_1.csv","gompertz_survival",-94.5363188310746,-87.3934616882175,25
"9HB7IP4W_1.csv","loglogistic",-111.30036264855,-104.157505505693,25
"9HB7IP4W_1.csv","generalizedgamma",-111.028596083899,-101.028596083899,25
"9HB7IP4W_10.csv","exponential",-20.8905172397898,-16.2589382924214,22
"9HB7IP4W_10.csv","weibull",-109.735644315974,-102.40231098264,22
"9HB7IP4W_10.csv","gompertz_hazard",-77.9229281072499,-70.5895947739166,22
"9HB7IP4W_10.csv","gompertz_survival",-98.7167655432439,-91.3834322099106,22
"9HB7IP4W_10.csv","loglogistic",-77.2818159991486,-69.9484826658152,22
"9HB7IP4W_10.csv","generalizedgamma",-115.997482512745,-105.644541336274,22
"9HB7IP4W_2.csv","exponential",-14.6337273126564,-9.54281822174732,14
"9HB7IP4W_2.csv","weibull",-67.3959808765209,-58.9959808765209,14
"9HB7IP4W_2.csv","gompertz_hazard",-54.2637131123148,-45.8637131123148,14
"9HB7IP4W_2.csv","gompertz_survival",-68.9268728302507,-60.5268728302507,14
"9HB7IP4W_2.csv","loglogistic",-48.8532418881602,-40.4532418881602,14
"9HB7IP4W_2.csv","generalizedgamma",-74.5662206325486,-62.1217761881042,14
"9HB7IP4W_3.csv","exponential",-44.4833526092946,-40.0033526092946,28
