"Dataset","Model","AICc","lambda","k","a","b","alpha","beta","gamma","LT50","Log_MT_Linearity","Num_Obs"
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_2.csv","exponential",-2.91036894869803,1.32895368709289,NA,NA,NA,NA,NA,NA,NA,NA,15
"2JL6JPJI_2.csv","weibull",-51.1134334647798,0.668748221899761,3.09056660995638,NA,NA,NA,NA,NA,NA,NA,15
"2JL6JPJI_2.csv","gompertz_survival",-44.5943427380881,NA,NA,0.180836146394564,4.86128687442989,NA,NA,NA,0.61243676368994,NA,15
"2JL6JPJI_2.csv","gompertz_survival_rawtime",-36.7048540907416,NA,NA,4.71627202290452e-14,0.0566942247631333,NA,NA,NA,484.151197140184,NA,15
